,Adj_Close,Close,High,Low,Open,Volume
2000-01-04,22.19654,53.039719999999996,53.37324,50.70459,51.3718,99900600
2000-01-05,21.77775,52.038999999999994,52.37252,50.70459,51.038109999999996,53596900
2000-01-06,21.49854,51.3718,55.04116,51.3718,52.038999999999994,56323200
2000-01-07,20.52131,49.03667,50.70459,48.03595,50.03739,46762600
2000-01-10,20.52131,49.03667,49.37035,48.03595,48.70315,53723700
2000-01-11,19.54409,46.70154,50.03739,46.0345,49.70387,58938600
2000-01-12,19.96295,47.70243,49.03667,46.70154,47.03523,42835300
2000-01-13,19.1253,45.70082,48.36947,45.3673,47.70243,50491700
2000-01-14,19.404510000000002,46.36802,47.03523,45.03362,45.70082,32721600
2000-01-17,19.8233,47.36875,48.36947,47.03523,47.36875,27877200
2000-01-18,19.8233,47.36875,48.36947,47.03523,47.70243,29244600
2000-01-19,20.52131,49.03667,50.37107,47.36875,47.70243,104735900
2000-01-20,21.21932,50.70459,52.038999999999994,49.37035,49.37035,107194600
2000-01-21,21.21932,50.70459,51.70532,50.03739,50.70459,62328700
2000-01-24,20.38174,48.70315,51.3718,48.70315,50.70459,42245800
2000-01-25,20.80053,49.70387,50.37107,48.36947,48.36947,40687400
2000-01-26,20.38174,48.70315,50.37107,48.70315,49.70387,29594000
2000-01-27,19.8233,47.36875,49.03667,47.36875,49.03667,40559500
2000-01-28,19.54409,46.70154,47.36875,46.0345,46.70154,28061600
2000-01-31,20.102520000000002,48.03595,48.70315,47.36875,48.03595,21034000
2000-02-01,20.66095,49.37035,50.03739,48.03595,48.70315,44419500
2000-02-09,20.38174,48.70315,51.038109999999996,48.03595,51.038109999999996,54295200
2000-02-10,20.102520000000002,48.03595,48.70315,47.03523,48.03595,43420100
2000-02-11,19.683729999999997,47.03523,49.03667,47.03523,48.03595,42988300
2000-02-14,19.96295,47.70243,48.70315,46.70154,47.03523,50870900
2000-02-15,20.80053,49.70387,50.03739,47.36875,48.03595,63328500
2000-02-16,22.19654,53.039719999999996,53.039719999999996,49.37035,50.70459,113133300
2000-02-17,23.1737,55.374680000000005,56.70908000000001,54.040440000000004,54.040440000000004,144637500
2000-02-18,21.77775,52.038999999999994,56.70908000000001,52.038999999999994,56.041880000000006,62815600
2000-02-21,20.38174,48.70315,52.70604,48.70315,52.038999999999994,41135000
2000-02-22,19.8233,47.36875,48.70315,47.03523,47.36875,33921500
2000-02-23,20.24209,48.36947,48.36947,47.36875,48.03595,28548200
2000-02-24,19.8233,47.36875,49.37035,47.36875,49.03667,22760600
2000-02-25,19.1253,45.70082,48.36947,45.3673,48.36947,31773900
2000-02-29,18.70651,44.7001,46.36802,44.36658,46.0345,33149900
2000-03-01,19.96295,47.70243,47.70243,45.3673,46.0345,30150800
2000-03-02,19.683729999999997,47.03523,48.70315,47.03523,48.36947,25246100
2000-03-03,19.96295,47.70243,48.03595,47.03523,47.70243,15347900
2000-03-06,19.26494,46.0345,47.03523,45.3673,46.70154,18113000
2000-03-07,19.683729999999997,47.03523,47.03523,44.7001,46.0345,38447300
2000-03-08,19.404510000000002,46.36802,47.03523,45.70082,46.70154,27113300
2000-03-09,20.66095,49.37035,49.37035,46.70154,47.03523,62744600
2000-03-10,19.404510000000002,46.36802,50.03739,46.0345,50.03739,58716000
2000-03-13,18.14807,43.3657,45.03362,43.3657,45.03362,41347800
2000-03-14,18.14807,43.3657,44.0329,42.03145,42.03145,19530900
2000-03-15,18.14807,43.3657,45.3673,42.69866,43.3657,38278100
2000-03-16,18.42729,44.0329,45.3673,40.69705,42.69866,47092900
2000-03-17,18.42729,44.0329,46.0345,42.36497,44.7001,77328700
2000-03-20,18.14807,43.3657,45.03362,42.69866,42.69866,68524800
2000-03-21,18.70651,44.7001,45.70082,42.03145,42.03145,93723700
2000-03-22,18.14807,43.3657,45.03362,43.3657,44.36658,41540900
2000-03-23,19.26494,46.0345,46.36802,43.69938,43.69938,100488000
2000-03-24,18.70651,44.7001,45.70082,44.7001,45.70082,31490000
2000-03-27,18.84608,45.03362,46.36802,43.3657,44.36658,45949400
2000-03-28,18.42729,44.0329,46.36802,44.0329,45.03362,39261500
2000-03-29,17.868920000000003,42.69866,45.03362,42.69866,43.69938,67321700
2000-03-30,17.450129999999998,41.69793,43.3657,41.36425,42.69866,64423900
2000-03-31,17.58971,42.03145,42.69866,41.03073,41.36425,48591000
2000-04-05,17.58971,42.03145,43.69938,40.69705,42.69866,62271300
2000-04-06,16.612479999999998,39.696329999999996,42.03145,39.362809999999996,41.69793,45767100
2000-04-07,16.05412,38.36209,40.36353,37.3612,39.696329999999996,37218700
2000-04-10,16.75212,40.03001,40.03001,36.69416,37.69488,37134700
2000-04-11,16.05412,38.36209,40.36353,37.69488,40.03001,53156500
2000-04-12,15.914470000000001,38.0284,38.695609999999995,37.02768,37.69488,22732000
2000-04-13,14.937320000000001,35.69344,37.3612,35.69344,37.02768,31794900
2000-04-14,14.099670000000001,33.691829999999996,35.359759999999994,33.358309999999996,34.02552,44395600
2000-04-17,13.20624,31.55695,31.823829999999997,29.42207,30.22255,53001600
2000-04-18,13.70876,32.75775,33.691829999999996,32.02391,32.62447,75921400
2000-04-19,13.5413,32.35759,33.358309999999996,32.35759,33.358309999999996,36771400
2000-04-20,13.764610000000001,32.89119,33.691829999999996,32.75775,32.75775,42579800
2000-04-21,13.90425,33.22487,34.02552,32.95799,33.358309999999996,17796900
2000-04-24,14.099670000000001,33.691829999999996,33.691829999999996,33.22487,33.291509999999995,27678700
2000-04-25,15.076889999999999,36.026959999999995,36.026959999999995,33.691829999999996,33.691829999999996,51773900
2000-04-26,14.099670000000001,33.691829999999996,37.02768,33.691829999999996,36.360479999999995,36269200
