,Adj_Close,Close,High,Low,Open,Volume
2000-01-04,11.51603,22.84846,22.9295,22.44343,22.9295,12338900
2000-01-05,11.597719999999999,23.01053,23.41572,22.68655,22.68655,15943600
2000-01-06,11.72025,23.25365,23.82075,22.84846,23.09157,20023100
2000-01-07,11.80194,23.41572,24.06387,23.33469,23.739710000000002,16452300
2000-01-10,12.61867,25.03616,25.03616,23.41572,23.5778,38411400
2000-01-11,12.659510000000001,25.1172,26.17053,24.71201,25.52222,45300600
2000-01-12,12.49613,24.793039999999998,25.84637,24.71201,25.1172,24985800
2000-01-13,12.7412,25.27927,25.603260000000002,24.793039999999998,25.27927,22426100
2000-01-14,12.3736,24.54993,25.603260000000002,24.46905,25.603260000000002,16851600
2000-01-17,12.86365,25.52222,25.6843,24.793039999999998,24.87408,23211900
2000-01-18,12.49613,24.793039999999998,25.76534,24.793039999999998,25.76534,11330700
2000-01-19,12.41445,24.63097,25.1172,24.54993,24.793039999999998,11487200
2000-01-20,12.57782,24.95512,25.27927,24.63097,24.793039999999998,12141800
2000-01-21,12.57782,24.95512,25.19823,24.71201,25.03616,11729300
2000-01-24,13.43539,26.65659,26.65659,25.03616,25.1172,51208000
2000-01-25,12.986189999999999,25.76534,26.65659,25.76534,26.65659,34817300
2000-01-26,13.19041,26.17053,26.57555,25.76534,25.927410000000002,34988200
2000-01-27,13.19041,26.17053,27.14282,26.089489999999998,26.41347,36030200
2000-01-28,13.68046,27.14282,27.22369,26.251559999999998,26.251559999999998,41370300
2000-01-31,13.43539,26.65659,27.06178,26.3326,26.73763,12443800
2000-02-01,13.92545,27.62888,27.871990000000004,26.73763,26.81867,38899400
2000-02-09,13.68046,27.14282,27.95303,27.14282,27.95303,24595200
2000-02-10,13.721229999999998,27.22369,28.03407,27.14282,27.14282,24277800
2000-02-11,13.353710000000001,26.49451,27.54784,26.49451,27.30473,18049500
2000-02-14,13.108720000000002,26.00845,26.8997,25.927410000000002,26.49451,15036500
2000-02-15,13.06788,25.927410000000002,26.3326,25.603260000000002,26.00845,12227300
2000-02-16,13.108720000000002,26.00845,26.41347,25.927410000000002,26.17053,11398800
2000-02-17,13.31286,26.41347,26.57555,25.927410000000002,26.00845,16322400
2000-02-18,13.108720000000002,26.00845,26.98074,26.00845,26.49451,14239900
2000-02-21,14.088829999999998,27.95303,27.95303,26.41347,26.41347,56230000
2000-02-22,13.353710000000001,26.49451,28.03407,26.41347,27.79096,34032600
2000-02-23,13.68046,27.14282,27.871990000000004,26.73763,26.98074,46066600
2000-02-24,13.80291,27.38577,28.35806,27.14282,27.70992,68113700
2000-02-25,14.047979999999999,27.871990000000004,28.520129999999998,27.30473,27.70992,72478500
2000-02-29,14.45635,28.682209999999998,29.0062,28.35806,29.0062,68671400
2000-03-01,14.252120000000001,28.27702,29.0062,28.195990000000002,29.0062,46739500
2000-03-02,13.8846,27.54784,28.682209999999998,27.54784,28.35806,32082600
2000-03-03,13.721229999999998,27.22369,27.95303,27.22369,27.62888,20785400
2000-03-06,13.598770000000002,26.98074,27.22369,26.41347,26.57555,21473600
2000-03-07,13.43539,26.65659,27.70992,26.57555,27.14282,20288500
2000-03-08,13.14957,26.089489999999998,27.14282,26.089489999999998,26.73763,15685400
2000-03-09,13.108720000000002,26.00845,26.41347,25.927410000000002,26.3326,17650400
2000-03-10,13.19041,26.17053,27.14282,26.089489999999998,26.3326,21184100
2000-03-13,12.29199,24.38802,26.251559999999998,24.38802,26.251559999999998,12249900
2000-03-14,12.04693,23.90179,23.90179,22.68655,23.5778,31586600
2000-03-15,11.842789999999999,23.496760000000002,24.63097,23.41572,23.739710000000002,28602000
2000-03-16,11.27104,22.362389999999998,23.496760000000002,22.11928,22.9295,23667900
2000-03-17,11.18936,22.20032,23.5778,22.20032,22.76758,71364500
2000-03-20,10.82184,21.47114,21.47114,21.47114,21.47114,475400
2000-03-21,10.78099,21.3901,21.47114,20.74196,20.74196,55088400
2000-03-22,10.41347,20.66092,21.22803,20.66092,21.22803,16523000
2000-03-23,11.026060000000001,21.87633,21.9572,20.66092,20.66092,52935100
2000-03-24,10.65846,21.14699,21.87633,21.14699,21.87633,12587000
2000-03-27,10.25009,20.33677,20.90404,19.85071,20.33677,24172900
2000-03-28,10.290939999999999,20.41781,21.06595,20.33677,20.49885,16708700
2000-03-29,10.20925,20.25573,20.823,20.25573,20.57989,10350600
2000-03-30,10.290939999999999,20.41781,20.823,20.25573,20.33677,14728800
2000-03-31,10.372630000000001,20.57989,21.06595,20.49885,20.66092,11055000
2000-04-05,10.20925,20.25573,20.66092,20.25573,20.33677,12790600
2000-04-06,10.25009,20.33677,20.823,20.25573,20.41781,14862900
2000-04-07,10.25009,20.33677,20.66092,20.25573,20.66092,8527000
2000-04-10,9.84173,19.52655,20.09366,19.445520000000002,19.68863,10731800
2000-04-11,9.92342,19.68863,19.85071,19.445520000000002,19.60759,10004400
2000-04-12,10.00511,19.85071,20.25573,19.76967,19.85071,14713800
2000-04-13,9.84173,19.52655,20.09366,19.52655,19.93175,7627000
2000-04-14,9.51506,18.878410000000002,19.76967,18.878410000000002,19.52655,9702200
2000-04-17,8.69833,17.25798,18.14924,17.17694,17.66301,7459000
2000-04-18,8.94332,17.74405,18.0682,17.42006,17.74405,9357200
2000-04-19,8.78002,17.42006,17.98716,17.42006,17.82508,4474000
2000-04-20,8.820780000000001,17.50093,18.0682,17.33902,17.33902,9497800
2000-04-21,8.94332,17.74405,17.90612,17.66301,17.90612,4029500
2000-04-24,8.61664,17.09591,17.82508,17.09591,17.74405,4263500
2000-04-25,8.28988,16.4476,17.17694,16.4476,16.93383,7880100
2000-04-26,7.75904,15.39439,16.609679999999997,15.39439,16.4476,11914000
2000-04-27,7.67737,15.232339999999999,15.71849,14.989279999999999,15.39439,8428600
2000-04-28,7.718210000000001,15.313360000000001,15.313360000000001,14.58417,15.232339999999999,10872600
2000-05-02,7.718210000000001,15.313360000000001,15.96155,15.151320000000002,15.79951,7243200
2000-05-03,7.51403,14.90826,15.313360000000001,14.665189999999999,14.746210000000001,6708600
2000-05-04,8.00407,15.880529999999998,15.880529999999998,15.55645,15.880529999999998,7912600
2000-05-05,8.37157,16.609679999999997,16.77175,16.042579999999997,16.1236,21037900
2000-05-08,8.33073,16.52864,16.85279,16.042579999999997,16.609679999999997,6723000
2000-05-10,8.00407,15.880529999999998,16.609679999999997,15.880529999999998,16.4476,4165000
2000-05-11,8.04491,15.96155,16.042579999999997,15.63747,15.79951,5175500
2000-05-12,8.28988,16.4476,16.77175,16.042579999999997,16.1236,13867600
2000-05-15,8.20825,16.28564,16.77175,16.28564,16.609679999999997,4633300
2000-05-16,8.16742,16.204620000000002,16.4476,16.042579999999997,16.36673,3641900
2000-05-17,8.73917,17.33902,17.33902,16.204620000000002,16.204620000000002,20139600
2000-05-18,8.90247,17.66301,18.31131,17.42006,17.42006,27817800
2000-05-19,9.06585,17.98716,18.23027,17.66301,17.82508,15927900
2000-05-22,8.61664,17.09591,17.42006,16.93383,17.42006,5148100
2000-05-23,8.41242,16.690720000000002,17.09591,16.609679999999997,17.014870000000002,3651900
2000-05-24,8.33073,16.52864,16.85279,16.28564,16.52864,6092900
2000-05-25,8.24912,16.36673,16.77175,16.28564,16.77175,3656400
2000-05-26,8.45326,16.77175,17.014870000000002,16.204620000000002,16.204620000000002,8363100
2000-05-29,8.28988,16.4476,17.014870000000002,16.4476,16.77175,8217000
2000-05-31,8.33073,16.52864,16.85279,16.52864,16.77175,4767800
2000-06-01,8.45326,16.77175,16.85279,16.609679999999997,16.609679999999997,4961100
2000-06-02,8.37157,16.609679999999997,17.17694,16.52864,17.014870000000002,5428000
2000-06-05,8.45326,16.77175,16.85279,16.4476,16.690720000000002,4408000
2000-06-07,8.24912,16.36673,16.77175,16.36673,16.609679999999997,3735700
2000-06-08,8.28988,16.4476,16.77175,16.4476,16.609679999999997,4811600
2000-06-09,8.16742,16.204620000000002,16.609679999999997,16.042579999999997,16.4476,6368100
2000-06-12,7.88156,15.63747,16.204620000000002,15.55645,16.204620000000002,3902700
2000-06-13,7.7998899999999995,15.47543,15.79951,15.47543,15.55645,3232600
2000-06-14,7.840730000000001,15.55645,15.63747,15.39439,15.39439,5542000
2000-06-15,7.636539999999999,15.151320000000002,15.63747,15.151320000000002,15.55645,3461000
2000-06-16,7.67737,15.232339999999999,15.39439,14.989279999999999,15.151320000000002,4699300
2000-06-19,7.67737,15.232339999999999,15.39439,15.151320000000002,15.151320000000002,2802900
2000-06-20,7.67737,15.232339999999999,15.55645,15.151320000000002,15.313360000000001,4793000
2000-06-21,7.47319,14.82724,15.313360000000001,14.665189999999999,15.313360000000001,3527200
2000-06-22,7.39152,14.665189999999999,14.82724,14.58417,14.665189999999999,4979400
2000-06-23,7.39152,14.665189999999999,14.82724,14.58417,14.82724,3545600
2000-06-26,7.18733,14.26007,14.82724,14.26007,14.58417,3840200
2000-06-27,7.10566,14.09803,14.50315,14.017000000000001,14.17905,3704000
2000-06-28,6.90147,13.6929,14.34109,13.6929,14.09803,4303400
2000-06-29,6.738119999999999,13.36881,13.85496,13.36881,13.77394,3895600
2000-06-30,6.819789999999999,13.53086,13.85496,13.36881,13.44984,3376700
